link,headline
b'https://plantvillage.psu.edu/topics/cantaloupe/infos',"b'Cantaloupe | Diseases and Pests, Description, Uses, Propagation'"
b'https://www.thepacker.com/article/dixondale-farms-frontera-produce-boost-texas-cantaloupe-deals',"b'Dixondale Farms, Frontera Produce boost Texas cantaloupe deals ...'"
b'https://ww4.publix.com/products-services/produce/at-seasons-peak/melons',b'California Honeydews & Cantaloupes | Produce | Publix Super ...'
b'https://fruits.com/products/cantaloupes/',"b'Cantaloupes - Del Monte Fresh Produce N.A., Inc'"
b'https://www.facebook.com/Calcantaloupes/',b'California Cantaloupes - Home | Facebook'
b'https://www.thepennyhoarder.com/save-money/cantaloupe-walmart/',b'Why the Heck Does Walmart Want You to Eat Cantaloupe Year ...'
b'https://publicintegrity.org/health/salmonella-outbreak-traced-to-cantaloupes-in-guatemala/',b'Salmonella outbreak traced to cantaloupes in Guatemala \xe2\x80\x93 Center ...'
b'https://www.burpee.com/vegetables/cantaloupe/',b'Cantaloupe Seeds - Ambrosia Hybrid - Organic Melon Seeds - Burpee'
b'https://extension.tennessee.edu/publications/Documents/PB962.pdf',b'PB962'
b'https://www.thesaurus.com/browse/cantaloupe',"b'Cantaloupe Synonyms, Cantaloupe Antonyms | Thesaurus.com'"
b'https://www.americanprogress.org/issues/immigration/news/2013/08/08/71840/let-them-eat-cantaloupes-the-shifting-tide-against-opponents-of-immigration-reform/',b'Let Them Eat Cantaloupes: The Shifting Tide Against Opponents of ...'
b'https://www.verywellfit.com/cantaloupe-nutrition-facts-calories-and-health-benefits-4110083',b'Cantaloupe Nutrition Facts and Health Benefits'
b'https://www.food.com/about/cantaloupe-559',b'Cantaloupe - Kitchen Dictionary - Food.com'
b'https://www.heb.com/product-detail/fresh-cantaloupe/325202',b'Fresh Cantaloupe - Shop Melons at H-E-B'
b'https://garden.org/plants/group/cantaloupes/',b'Cantaloupes: Plant Care and Collection of Varieties - Garden.org'
b'https://www.fightbac.org/california-cantaloupe-advisory-board-supports-consumer-safe-handling-of-cantaloupes/',b'California Cantaloupe Advisory Board supports consumer safe ...'
b'https://foodsafety.wisc.edu/assets/pdf_Files/Safety_of_Cantaloupe.pdf',b'Safety of Cantaloupe'
b'https://www.statefoodsafety.com/Resources/Resources/wash-that-cantaloupe',b'Wash That Cantaloupe'
b'https://www.cde.state.co.us/nutrition/osnffvpproduceinfosheetscantaloupes',b'Cantaloupes'
b'https://newswire.caes.uga.edu/story.html?storyid=7645&story=Cantaloupes',b'Media Newswire - Story - Cantaloupes'
b'http://ucanr.edu/sites/MarinMG/files/167274.pdf',"b'Cantaloupes, Cucumis melo'"
b'https://anrcatalog.ucanr.edu/pdf/8095.pdf',"b'Cantaloupe: Safe Methods to Store, Preserve, and Enjoy'"
b'https://www.ucsusa.org/resources/killer-cantaloupes',b'Killer Cantaloupes | Union of Concerned Scientists'
b'https://www.nejm.org/doi/full/10.1056/NEJMoa1215837',b'Multistate Outbreak of Listeriosis Associated with Cantaloupe | NEJM'
b'https://www.jaemorfarms.com/our-produce/cantaloupe/',b'Fresh Cantaloupe | Jaemor Farms'
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=17',b'Cantaloupe'
b'https://www.thenest.com/content/how-to-buy-cantaloupe',b'How to Buy Cantaloupe - Ripe Cantaloupe'
b'https://giveitsomethyme.com/grilled-cantaloupe-black-bean-salad/',b'Grilled Cantaloupe Black Bean Salad - Give it Some Thyme'
b'https://nifa.usda.gov/announcement/probiotics-effective-keeping-cantaloupes-safe-eat',b'Probiotics Effective in Keeping Cantaloupes Safe to Eat | National ...'
b'https://mdc.itap.purdue.edu/item.asp?itemID=24350',b'Home Food Safety: Use of Readily Available Sanitizers on ...'
b'https://www.kltv.com/2019/05/03/cantaloupe-issues/',"b'Planting Cantaloupe takes patience, perfect timing'"
b'https://legal-planet.org/2020/02/10/from-the-grand-canyon-to-contaminated-cantaloupes-and-more/',b'From the Grand Canyon to Contaminated Cantaloupes \xe2\x80\x93 and More ...'
b'https://www.accessdata.fda.gov/cms_ia/importalert_67.html',b'Import Alert 22-01'
