link,headline
b'https://www.oceanspray.com/en/Recipes/By-Course/Appetizers/Sizzling-Bacon-Wrapped-Apricots-with-Cranberry-Glaze',b'Sizzling Bacon-Wrapped Apricots with Cranberry Glaze | Ocean ...'
b'https://www.sprouts.com/healthy-living/apricots-the-time-is-ripe/',b'Apricots: The Time Is Ripe | Sprouts Farmers Market'
b'https://www.sunsweet.com/products/mediterranean-apricots/',b'Mediterranean Apricots from Sunsweet\xc2\xae'
b'http://wallforapricots.com/',b'WALL FOR APRICOTS'
b'https://www.meijer.com/shop/en/snacks/fruit-snacks/dried-fruit/great-lakes-sun-dried-apricots-12-oz/p/8610121003',"b'Great Lakes Sun-Dried Apricots, 12 oz Dried Fruit | Meijer Grocery ...'"
b'https://fruitsandveggies.org/fruits-and-veggies/apricots/',b'Apricots - Have A Plant'
b'https://fruitsandveggies.org/fruits-and-veggies/apricots/',b'Apricots - Have A Plant'
b'https://extension.psu.edu/lets-preserve-peaches-apricots-nectarines',"b""Let's Preserve: Peaches, Apricots, Nectarines"""
b'https://www.simplyrecipes.com/recipes/couscous_with_pistachios_and_apricots/',b'Couscous with Pistachios and Apricots Recipe | SimplyRecipes.com'
b'http://www.santacruzfarmersmarket.org/vendors/gonzales-orchard/',b'Apricot King Orchards | Santa Cruz Farmers Markets'
b'https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/apricot',b'Apricot | ASPCA'
b'https://sweetwaterbrew.com/brews/the-pit-the-pendulum-with-apricots/',b'The Pit & The Pendulum with Apricots | SweetWater Brewery'
b'https://www.gurneys.com/category/apricot-nectacot-nectarine-trees',"b""Apricots, Nectacots & Nectarines: Fruit Trees from Gurney's"""
b'https://www.safeway.com/shop/product-details.184740919.html',b'Signature Kitchens Apricots Fa - Online Groceries | Safeway'
b'https://troegs.com/beer/apricot-farmette/',b'Apricot Farmette - Tr\xc3\xb6egs Independent Brewing'
b'https://www.organicfacts.net/health-benefits/fruit/apricots.html',b'9 Impressive Health Benefits of Apricot | Organic Facts'
b'https://www.organicfacts.net/health-benefits/fruit/apricots.html',b'9 Impressive Health Benefits of Apricot | Organic Facts'
b'https://www.williams-sonoma.com/products/glaceed-apricots/',b'Williams Sonoma Glac\xc3\xa9ed Apricots | Williams Sonoma'
b'https://www.heart.org/HEARTORG/Conditions/Cholesterol/CholesterolToolsResources/Creamy-Apricot-Oatmeal_UCM_322249_Recipe.jsp',b'Creamy Apricot Oatmeal'
b'https://www.pubs.ext.vt.edu/422/422-761/422-761.html',b'1988-1995 Apricot Variety Evaluations in Virginia | VCE Publications ...'
b'https://socialclub.rockstargames.com/games/rdr2/catalogue/online/products/f5fbe984',"b'Canned Apricots - Wheeler, Rawson and Co. (Online Edition)'"
b'https://www.purdue.edu/hla/sites/hortbusiness/current-projects/usaidtajikistan/',"b'Appropriate Postharvest, Handling, Processing, and Marketing of ...'"
b'https://fruitsfromchile.com/fruit/apricots/',b'Apricots | Fruits From Chile'
b'https://shop.arborday.org/product-nursery.aspx?zpid=749',b'Early Golden Apricot'
b'http://calyeefarm.com/dried-fruit/apricots/',b'Dried Fruit - Apricots - Cal Yee Farm'
b'https://campbellsnutrition.com/couscous-with-apricots-pistachios/',"b""Campbell's Recipe | Couscous with Apricots & Pistachios ..."""
