state,region,keyword,volume,Apr-19,Aug-19,Dec-19,Feb-20,Jan-20,Jul-19,Jun-19,Mar-20,May-19,Nov-19,Oct-19,Sep-19
Connecticut,Northeast,apples,74000,49500,110000,90500,49500,60500,49500,60500,60500,49500,90500,74000,165000
Connecticut,Northeast,apricots,1300,1300,1300,1000,1300,1300,1600,1600,1300,1300,1000,1300,1300
Connecticut,Northeast,avocados,4400,5400,4400,3600,5400,5400,4400,4400,5400,5400,3600,4400,3600
Connecticut,Northeast,bananas,5400,5400,5400,5400,6600,6600,4400,5400,8100,6600,5400,5400,5400
Connecticut,Northeast,blackberries,3600,4400,3600,2900,2900,2900,4400,3600,2900,3600,3600,4400,4400
Connecticut,Northeast,blueberries,2400,2400,2400,1600,2400,2400,2900,2400,2900,2400,1600,1900,1900
Connecticut,Northeast,cantaloupes,1600,1600,1600,1000,1600,1600,1600,1600,1900,1600,1000,1000,1300
Connecticut,Northeast,cherries,1600,1300,1900,1600,1600,1600,2900,1900,1900,1600,1600,1600,1300
Connecticut,Northeast,coconuts,1900,1600,1900,1600,1600,1600,2900,1600,1900,1900,1600,1600,1600
Connecticut,Northeast,figs,3600,2900,3600,3600,3600,2900,2900,2900,3600,2900,3600,3600,3600
Connecticut,Northeast,grapefruits,1300,1300,1000,1300,1600,1900,1300,1000,1600,1300,1300,1000,1000
Connecticut,Northeast,grapes,1600,1600,1300,1300,1600,1600,1300,1300,1900,1600,1300,1900,1600
Connecticut,Northeast,guava,1900,2400,1900,1600,1900,1900,1900,1900,1900,1900,1900,1600,1600
Connecticut,Northeast,kiwifruit,320,390,260,260,260,320,320,390,390,480,320,210,260
Connecticut,Northeast,lemons,2400,2900,2400,1900,2400,2400,2400,2400,3600,2900,1900,1900,1900
Connecticut,Northeast,limes,1300,1600,1300,880,1300,1600,1300,1300,1900,1600,1000,1300,1300
Connecticut,Northeast,mangos,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
Connecticut,Northeast,olives,1000,1000,1000,1000,1000,1000,880,880,1300,1000,1000,1000,1000
Connecticut,Northeast,oranges,4400,4400,3600,4400,5400,5400,3600,4400,6600,4400,4400,4400,4400
Connecticut,Northeast,passionfruit,2400,2400,2400,1900,2400,2400,2400,2400,2400,2400,1900,1900,1900
Connecticut,Northeast,peaches,3600,2900,3600,3600,2900,3600,2900,2900,4400,3600,2900,3600,3600
Connecticut,Northeast,pears,1300,1300,1000,1000,1300,1300,880,1000,1600,1300,1300,1300,1300
Connecticut,Northeast,pineapples,4400,5400,4400,3600,3600,3600,5400,5400,4400,5400,3600,3600,3600
Connecticut,Northeast,plums,1000,1000,1600,1000,1000,1000,1600,1000,1000,1000,880,1000,1300
Connecticut,Northeast,pomegranates,2400,1900,1600,3600,2400,2900,1600,1900,2400,1900,5400,2900,2400
Connecticut,Northeast,raspberries,1600,1600,1600,1300,1600,1600,2400,1900,1900,1600,1000,1300,1300
Connecticut,Northeast,strawberries,3600,3600,2900,2400,4400,3600,3600,5400,5400,4400,2400,2900,2900
Connecticut,Northeast,tomatoes,2400,2400,2900,1900,2400,2400,2400,2400,3600,2900,1900,2400,2900
Connecticut,Northeast,watermelons,2900,2400,3600,1600,1900,1900,4400,4400,4400,3600,1600,1900,2400
Delaware,South,acerolas,10,10,10,10,10,10,10,10,0,10,10,10,10
Delaware,South,apples,18100,12100,27100,22200,12100,12100,14800,12100,14800,12100,22200,18100,40500
Delaware,South,apricots,320,320,320,320,320,320,320,390,320,390,260,390,390
Delaware,South,avocados,1000,1300,1000,880,1300,1300,1000,1000,1300,1300,880,1000,1000
Delaware,South,bananas,1300,1300,1000,1000,1300,1300,1300,1300,1900,1600,1000,1300,1300
Delaware,South,blackberries,590,720,590,480,590,590,720,720,590,720,480,590,480
Delaware,South,blueberries,590,590,390,320,590,480,720,720,720,590,390,480,390
Delaware,South,cantaloupes,390,390,590,260,390,260,720,480,390,480,210,260,390
Delaware,South,cherries,390,320,390,320,390,320,590,480,390,390,320,390,320
Delaware,South,coconuts,480,480,590,320,390,320,1000,590,390,590,320,390,390
Delaware,South,figs,590,480,590,590,590,590,590,480,720,480,590,590,590
Delaware,South,grapefruits,320,320,320,320,480,390,320,260,390,390,320,320,320
Delaware,South,grapes,390,390,390,320,480,480,390,390,480,390,390,480,480
Delaware,South,guava,390,480,390,260,390,390,480,390,390,390,320,320,320
Delaware,South,kiwifruit,70,90,70,40,70,70,90,140,70,110,70,70,70
Delaware,South,lemons,590,720,590,480,720,480,720,720,720,720,480,390,480
Delaware,South,limes,320,320,260,210,260,260,320,320,480,320,210,320,260
